country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_by_1mpop,latitude,longitude
China,"80,880",+36,"3,213",+14,"67,819","9,848","3,226",56.2,35.86166,104.195397
Italy,"27,980","+3,233","2,158",+349,"2,749","23,073","1,851",462.8,41.87194,12.56738
Iran,"14,991","+1,053",853,+129,"4,590","9,548","",178.5,32.427908,53.688046
Spain,"9,428","+1,440",335,+41,530,"8,563",272,201.6,40.46366700000001,-3.74922
S. Korea,"8,236",+74,75,"","1,137","7,024",59,160.6,,
Germany,"7,174","+1,361",14,+1,60,"7,100",2,85.6,51.165691,10.451526
France,"5,423","",127,"",12,"5,284",400,83.1,46.227638,2.213749
USA,"4,141",+461,71,+3,73,"3,997",12,12.5,,
Switzerland,"2,353",+136,18,+4,4,"2,331","",271.9,46.818188,8.227511999999999
UK,"1,543",+152,36,+1,20,"1,487",20,22.7,,
Netherlands,"1,413",+278,24,+4,2,"1,387",45,82.5,52.132633,5.291265999999999
Norway,"1,321",+65,3,"",1,"1,317",27,243.7,60.47202399999999,8.468945999999999
Sweden,"1,110",+70,7,+4,1,"1,102",2,109.9,60.12816100000001,18.643501
Belgium,"1,058",+172,5,+1,1,"1,052",33,91.3,50.503887,4.469936
Austria,"1,018",+158,3,+2,8,"1,007",12,113.0,47.516231,14.550072
Denmark,914,+50,4,+2,1,909,10,157.8,56.26392,9.501785
Japan,895,+56,27,+3,144,724,41,7.1,36.204824,138.252924
Diamond Princess,696,"",7,"",456,233,15,"",,
Malaysia,566,+138,"","",42,524,9,17.5,4.210484,101.975766
Qatar,439,+38,"","",4,435,"",152.4,25.354826,51.183884
Australia,375,+75,5,"",27,343,1,14.7,-25.274398,133.775136
Canada,375,+34,1,"",11,363,1,9.9,56.130366,-106.346771
Greece,352,+21,4,"",8,340,5,33.8,39.074208,21.824312
Portugal,331,+86,1,+1,3,327,18,32.5,39.39987199999999,-8.224454
Czechia,298,+5,"","",3,295,2,27.8,49.81749199999999,15.472962
Finland,278,+34,"","",10,268,1,50.2,61.92410999999999,25.748151
Israel,255,+42,"","",4,251,4,29.5,31.046051,34.851612
Slovenia,253,+34,1,"","",252,3,121.7,46.151241,14.995463
Singapore,243,+17,"","",109,134,11,41.5,1.352083,103.819836
Bahrain,221,+7,1,+1,77,143,1,129.9,26.0667,50.5577
Estonia,205,+34,"","",1,204,"",154.5,58.595272,25.013607
Brazil,203,+3,"","",2,201,2,1.0,-14.235004,-51.92528
Iceland,182,+2,"","","",182,1,"",64.963051,-19.020835
Ireland,170,"",2,"",5,163,6,34.4,53.41291,-8.24389
Romania,168,+29,"","",9,159,2,8.7,45.943161,24.96676
Poland,156,+31,3,"","",153,3,4.1,51.919438,19.145136
Hong Kong,155,+6,4,"",81,70,4,20.7,22.396428,114.109497
Chile,155,+80,"","","",155,"",8.1,-35.675147,-71.542969
Egypt,150,+24,2,"",32,116,"",1.5,26.820553,30.802498
Thailand,147,+33,1,"",35,111,1,2.1,15.870032,100.992541
Philippines,142,+2,12,"",5,125,1,1.3,12.879721,121.774017
Pakistan,136,+83,1,+1,2,133,"",0.6,30.375321,69.34511599999999
Indonesia,134,+17,5,"",8,121,"",0.5,-0.789275,113.921327
India,129,+15,2,"",13,114,"",0.1,20.593684,78.96288
Iraq,124,"",10,"",26,88,"",3.1,33.223191,43.679291
Kuwait,123,+11,"","",9,114,4,28.8,29.31166,47.481766
Saudi Arabia,118,"","","",6,112,"",3.4,23.885942,45.079162
San Marino,109,"",7,"",4,98,11,"",43.94236,12.457777
Lebanon,109,"",3,"",1,105,3,16.0,33.854721,35.862285
UAE,98,"","","",23,75,2,9.9,,
Russia,93,+30,"","",8,85,"",0.6,61.52401,105.318756
Peru,86,+15,"","",1,85,8,2.6,-9.189967,-75.015152
Luxembourg,81,+4,1,"","",80,10,"",49.815273,6.129582999999999
Slovakia,72,+11,"","","",72,"",13.2,48.669026,19.699024
Taiwan,67,+8,1,"",20,46,"",2.8,23.69781,120.960515
South Africa,64,+3,"","","",64,"",1.1,-30.559482,22.937506
Bulgaria,62,+11,2,"","",60,"",8.9,42.733883,25.48583
Vietnam,61,+4,"","",16,45,"",0.6,14.058324,108.277199
Ecuador,58,+21,2,"","",56,2,3.3,-1.831239,-78.18340599999999
Croatia,57,+8,"","",3,54,"",13.9,45.1,15.2
Serbia,57,+9,"","",1,56,2,6.5,44.016521,21.005859
Argentina,56,"",2,"",3,51,1,1.2,-38.416097,-63.61667199999999
Panama,55,"",1,"","",54,"",12.7,8.537981,-80.782127
Algeria,54,"",4,"",10,40,"",1.2,28.033886,1.659626
Brunei,54,+4,"","","",54,1,"",4.535277,114.727669
Colombia,54,+20,"","",1,53,"",1.1,4.570868,-74.297333
Mexico,53,+10,"","",4,49,1,0.4,23.634501,-102.552784
Albania,51,+9,1,"","",50,2,17.7,41.153332,20.168331
Hungary,39,+7,1,"",1,37,"",4.0,47.162494,19.503304
Palestine,39,+1,"","","",39,"",7.6,31.952162,35.233154
Belarus,36,+9,"","",3,33,"",3.8,53.709807,27.953389
Costa Rica,35,"","","","",35,3,6.9,9.748916999999999,-83.753428
Latvia,34,+4,"","",1,33,"",18.0,56.879635,24.603189
Georgia,33,"","","",1,32,1,8.3,42.315407,43.35689199999999
Cyprus,33,"","","","",33,1,27.3,35.126413,33.429859
Armenia,30,+2,"","",1,29,2,10.1,40.069099,45.038189
Malta,30,+9,"","",2,28,"","",35.937496,14.375416
Morocco,29,+1,1,"",1,27,1,0.8,31.791702,-7.092619999999999
Sri Lanka,28,+10,"","",1,27,"",1.3,7.873053999999999,80.77179699999999
Azerbaijan,25,+2,1,"",6,18,"",2.5,40.143105,47.576927
Senegal,24,"","","",2,22,"",1.4,14.497401,-14.452362
Bosnia and Herzegovina,24,"","","","",24,"",7.3,43.915886,17.679076
Moldova,23,"","","","",23,1,5.7,47.411631,28.369885
Oman,22,"","","",9,13,"",4.3,21.4735329,55.975413
Afghanistan,21,+5,"","",1,20,"",0.5,33.93911,67.709953
Tunisia,20,"","","","",20,2,1.7,33.886917,9.537499
Jordan,19,+7,"","",1,18,"",1.9,30.585164,36.238414
North Macedonia,19,"","","",1,18,"",9.1,41.608635,21.745275
Faeroe Islands,18,+7,"","","",18,"","",,
Turkey,18,"","","","",18,"",0.2,38.963745,35.243322
Lithuania,17,+3,"","",1,16,"",6.2,55.169438,23.881275
Venezuela,17,"","","","",17,"",0.6,6.42375,-66.58973
Burkina Faso,15,+12,"","","",15,"",0.7,12.238333,-1.561593
Jamaica,15,+5,"","",2,13,"",5.1,18.109581,-77.297508
Martinique,15,+5,"","","",15,"","",14.641528,-61.024174
